Station,Date,Time (IST),Gas,Concentration,Unit,Prescribed Standard,H
Anand Vihar,2025-11-14 00:00:00,14:40:00,Ammonia,61.9,µg/m3,400,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Benzene,4.4,µg/m3,5,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Carbon Monoxide,2,mg/m3,4,mg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Nitrogen Dioxide,53.1,µg/m3,80,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Nitrogen Oxide,28.3,µg/m3,124.833333333333,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Oxides of Nitrogen,51.7,ppb,124.833333333333,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Ozone,7.2,µg/m3,180,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,p-Xylene,4.2,µg/m3,124.833333333333,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Sulphur Dioxide,19.0,µg/m3,80,µg/m3
Anand Vihar,2025-11-14 00:00:00,14:40:00,Toluene,31.1,µg/m3,124.833333333333,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Ammonia,40.2,µg/m3,400,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Benzene,1.3,µg/m3,5,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Carbon Monoxide,0.8,mg/m3,4,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Nitrogen Dioxide,28.3,µg/m3,80,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Nitrogen Oxide,28.3,µg/m3,124.833333333333,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Oxides of Nitrogen,28.3,ppb,124.833333333333,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Ozone,148.8,µg/m3,180,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,p-Xylene,0.7,µg/m3,124.833333333333,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Sulphur Dioxide,7.2,µg/m3,80,µg/m3
Patparganj,2025-11-14 00:00:00,15:25:00,Toluene,4.3,µg/m3,124.833333333333,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Ammonia,34.7,µg/m3,400,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Benzene,0.9,µg/m3,5,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Carbon Monoxide,1,mg/m3,4,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Nitrogen Dioxide,118.6,µg/m3,80,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Nitrogen Oxide,6.5,µg/m3,124.833333333333,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Oxides of Nitrogen,68.4,ppb,124.833333333333,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Ozone,19,µg/m3,180,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,p-Xylene,0.7,µg/m3,124.833333333333,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Sulphur Dioxide,26.8,µg/m3,80,µg/m3
Najafgarh,2025-11-14 00:00:00,15:30:00,Toluene,2,µg/m3,124.833333333333,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Ammonia,61.4,µg/m3,400,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Benzene,2.3,µg/m3,5,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Carbon Monoxide,1.1,mg/m3,4,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Nitrogen Dioxide,53.4,µg/m3,80,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Nitrogen Oxide,3.9,µg/m3,124.833333333333,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Oxides of Nitrogen,31.6,ppb,124.833333333333,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Ozone,138.4,µg/m3,180,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,p-Xylene,0.2,µg/m3,124.833333333333,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Sulphur Dioxide,25,µg/m3,80,µg/m3
"Dwarka, Sec-8",2025-11-14 00:00:00,15:20:00,Toluene,6,µg/m3,124.833333333333,µg/m3
Jawaharlal Nehru Stadium,2025-11-14 00:00:00,15:35:00,Ammonia,21.9,µg/m3,400,µg/m3
Jawaharlal Nehru Stadium,2025-11-14 00:00:00,15:35:00,Benzene,0.5,µg/m3,5,µg/m3
Jawaharlal Nehru Stadium,2025-11-14 00:00:00,15:35:00,Carbon Monoxide,1.1,mg/m3,4,µg/m3
Jawaharlal Nehru Stadium,2025-11-14 00:00:00,15:35:00,Nitrogen Dioxide,41.1,µg/m3,80,µg/m3
